 state,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Autauga,1980,179,122,35,18,4,0,0,177,108,40,0,0,122,57,0,0
Alabama,Colbert,1980,274,127,45,63,39,0,0,200,165,56,0,0,0,274,0,0
Alabama,Jackson,1980,366,85,110,92,79,0,0,200,200,94,0,0,0,366,0,0
Alabama,Jefferson,1980,343,171,109,37,19,7,0,221,140,51,207,0,136,0,0,0
Alabama,Lauderdale,1980,274,120,58,77,19,0,0,200,139,56,0,0,0,274,0,0
Alabama,Madison,1980,344,154,125,60,5,0,0,185,112,56,28,168,148,0,0,0
Alabama,Mobile,1980,286,180,62,35,8,1,0,204,119,41,0,0,68,218,0,0
Alabama,Monroe,1980,90,63,14,7,6,0,0,200,122,40,0,0,90,0,0,0
Alabama,Morgan,1980,332,207,93,32,0,0,0,148,100,39,0,121,28,183,0,0
Alabama,Tuscaloosa,1980,132,94,28,10,0,0,0,147,93,38,0,0,132,0,0,0
Alabama,Autauga,1981,357,289,49,15,4,0,0,195,77,32,0,0,241,116,0,0
Alabama,Colbert,1981,358,235,42,46,35,0,0,200,149,29,0,0,0,358,0,0
Alabama,Etowah,1981,188,114,32,26,13,3,0,226,143,44,0,0,188,0,0,0
Alabama,Jackson,1981,365,53,71,147,94,0,0,200,200,116,0,0,0,365,0,0
Alabama,Jefferson,1981,365,132,137,56,31,9,0,239,156,67,72,0,267,26,0,0
Alabama,Lauderdale,1981,353,222,46,65,20,0,0,200,130,29,0,0,0,353,0,0
Alabama,Madison,1981,352,251,80,21,0,0,0,150,90,39,0,0,352,0,0,0
Alabama,Mobile,1981,365,129,105,106,23,2,0,203,143,75,0,0,212,153,0,0
Alabama,Monroe,1981,253,228,23,2,0,0,0,112,50,37,0,0,253,0,0,0
Alabama,Morgan,1981,301,219,74,8,0,0,0,122,74,38,0,88,170,43,0,0
Alabama,Tuscaloosa,1981,228,169,47,12,0,0,0,140,84,42,0,0,228,0,0,0
Alabama,Autauga,1982,245,203,36,5,0,1,0,206,67,31,0,0,166,79,0,0
Alabama,Colbert,1982,355,221,43,57,34,0,0,200,148,27,0,0,0,355,0,0
Alabama,Etowah,1982,197,108,53,32,4,0,0,192,115,48,0,0,197,0,0,0
Alabama,Jackson,1982,360,269,60,27,4,0,0,200,94,30,0,0,0,360,0,0
Alabama,Jefferson,1982,365,171,123,50,17,4,0,228,129,53,80,0,255,30,0,0
Alabama,Lauderdale,1982,354,217,53,64,20,0,0,200,132,26,0,0,0,354,0,0
Alabama,Madison,1982,315,231,64,17,3,0,0,185,90,36,0,0,315,0,0,0
Alabama,Mobile,1982,360,197,115,41,7,0,0,169,105,47,0,0,231,129,0,0
Alabama,Monroe,1982,154,146,8,0,0,0,0,90,44,28,0,0,154,0,0,0
Alabama,Morgan,1982,286,207,63,13,3,0,0,161,84,41,0,26,260,0,0,0
Alabama,Tuscaloosa,1982,190,125,49,15,1,0,0,151,100,44,0,0,190,0,0,0
Alabama,Colbert,1983,342,229,43,54,16,0,0,200,129,21,0,0,0,342,0,0
Alabama,Cullman,1983,211,124,53,26,8,0,0,185,122,45,0,0,211,0,0,0
Alabama,Etowah,1983,210,124,49,26,11,0,0,200,129,45,0,0,210,0,0,0
Alabama,Jackson,1983,315,170,86,47,12,0,0,200,110,47,0,0,0,315,0,0
